City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,assab,13.0092,42.7394,78.53,81,93,14.23,ER,1707714308
346,port victoria,0.0939,33.9756,71.74,77,33,7.23,KE,1707714308
347,geraldton,-28.7667,114.6,81.01,65,0,16.11,AU,1707714308
348,papao,-17.75,-149.55,82.08,89,100,9.17,PF,1707714309
349,mejit,10.2753,170.8646,79.81,76,82,21.16,MH,1707714309
350,labrador city,52.9463,-66.9114,13.91,87,100,9.22,CA,1707714309
351,laramie,41.3114,-105.5911,23.95,74,32,4.14,US,1707714064
352,kingscliff,-28.2667,153.5667,84.0,58,75,13.8,AU,1707714310
353,weno,7.4515,151.8468,85.95,66,40,12.66,FM,1707714310
354,bulgan,48.8125,103.5347,35.01,64,100,8.32,MN,1707714310
355,el granada,37.5027,-122.4694,53.49,88,0,9.22,US,1707714311
356,harlingen,26.1906,-97.6961,67.91,40,8,15.79,US,1707714311
357,bechar,31.6167,-2.2167,50.32,37,0,2.3,DZ,1707714311
358,novodvinsk,64.4165,40.8122,-11.22,100,92,2.77,RU,1707714311
359,rubtsovsk,51.5,81.25,7.93,90,100,15.35,RU,1707714312
360,val-d'or,48.1002,-77.7828,21.29,93,100,2.3,CA,1707714312
361,sumbawanga,-7.9667,31.6167,59.92,86,97,3.13,TZ,1707714148
362,craigieburn,-37.6,144.95,100.2,32,0,17.27,AU,1707714312
363,mishan,45.55,131.8833,30.34,79,18,11.61,CN,1707714313
364,havre,49.5833,0.3333,44.37,87,100,6.91,FR,1707714313
365,balqash,46.8481,74.995,3.79,72,0,8.95,KZ,1707714313
366,afaahiti,-17.75,-149.2833,80.47,89,96,11.97,PF,1707714313
367,tosno,59.54,30.8775,17.42,96,100,6.31,RU,1707714314
368,clarksville,36.5298,-87.3595,49.53,81,75,4.61,US,1707714029
369,makarov,48.6333,142.8,25.2,69,93,8.95,RU,1707714314
370,farmington,36.7281,-108.2187,29.25,73,0,4.61,US,1707714284
371,zouerate,22.7187,-12.4521,63.9,49,0,6.64,MR,1707714315
372,marand,38.4329,45.7749,40.12,61,20,1.07,IR,1707714315
373,turpan,42.9333,89.1667,46.2,36,51,2.33,CN,1707714315
374,correntina,-13.3433,-44.6367,67.96,86,99,3.58,BR,1707714316
375,antofagasta,-23.65,-70.4,70.88,81,99,7.52,CL,1707714316
376,fort bragg,35.139,-79.006,60.82,93,100,5.75,US,1707714316
377,suva,-18.1416,178.4415,89.08,70,75,6.91,FJ,1707714317
378,talnakh,69.4865,88.3972,-27.15,89,17,4.18,RU,1707714317
379,zeya,53.75,127.2667,19.49,84,100,3.78,RU,1707714317
380,peniche,39.3558,-9.3811,61.29,96,76,12.08,PT,1707714317
381,dogubayazit,39.5469,44.0842,28.8,62,31,3.65,TR,1707714318
382,tchintabaraden,15.8969,5.7985,67.8,9,0,8.93,NE,1707714318
383,khenifra,32.9333,-5.6667,51.22,79,3,2.46,MA,1707714318
384,bikenibeu village,1.3673,173.1241,85.96,79,40,8.05,KI,1707714318
385,newman,37.3138,-121.0208,48.02,87,15,1.01,US,1707714319
386,ikovka,55.6089,64.9375,-2.79,93,31,8.46,RU,1707714319
387,kone,-21.0595,164.8658,82.96,77,76,5.66,NC,1707714319
388,nurabad,34.0734,47.9725,40.82,51,0,4.05,IR,1707714319
389,nueva esperanza,15.2667,-87.6,71.22,83,1,4.05,HN,1707714320
390,houghton,47.1219,-88.569,29.82,78,100,0.0,US,1707714320
391,kudahuvadhoo,2.6708,72.8944,79.03,86,100,11.25,MV,1707714320
392,tual,-5.6667,132.75,83.98,78,62,17.4,ID,1707714321
393,sao jose da coroa grande,-8.8978,-35.1478,76.51,90,100,4.05,BR,1707714321
394,mangrol,21.1167,70.1167,74.98,27,95,9.46,IN,1707714321
395,katsuura,35.1333,140.3,48.47,50,51,15.68,JP,1707714322
396,betio village,1.358,172.9211,86.04,79,83,10.85,KI,1707714322
397,hwange,-18.3693,26.5019,71.82,69,37,5.59,ZW,1707714322
398,tucurui,-3.7661,-49.6725,72.9,96,94,2.89,BR,1707714255
399,sorong,-0.8833,131.25,84.6,72,90,15.57,ID,1707714067
400,remire-montjoly,4.9167,-52.2667,78.84,89,75,4.61,GF,1707714323
401,spring creek,40.7266,-115.5859,22.69,69,65,2.35,US,1707714323
402,luganville,-15.5333,167.1667,83.16,78,65,3.78,VU,1707714323
403,watford city,47.8022,-103.2832,26.46,100,0,10.36,US,1707714323
404,nchelenge,-9.3451,28.734,68.58,87,85,4.03,ZM,1707714324
405,macapa,0.0389,-51.0664,76.98,100,20,4.61,BR,1707714324
406,mhamid,29.82,-5.72,59.04,37,0,2.48,MA,1707714324
407,qobustan,40.0824,49.412,54.97,47,20,4.16,AZ,1707714324
408,igrim,63.1906,64.4162,-24.18,99,15,2.57,RU,1707714325
409,redencao,-4.2258,-38.7306,73.81,98,67,0.34,BR,1707714162
410,male,4.1748,73.5089,89.55,70,75,18.41,MV,1707714325
411,hinton,53.4001,-117.5857,29.25,98,100,2.26,CA,1707714325
412,north las vegas,36.1989,-115.1175,45.82,57,0,24.0,US,1707714258
413,tamiahua,21.2667,-97.45,73.22,93,29,11.27,MX,1707714326
414,grootfontein,-19.5667,18.1167,65.77,94,100,3.44,NA,1707714326
415,bereznik,62.8551,42.7072,-16.47,100,91,2.8,RU,1707714326
416,yasuj,30.6682,51.588,33.35,80,0,0.0,IR,1707714326
417,ilhabela,-23.7781,-45.3581,77.76,81,4,3.91,BR,1707714137
418,grand falls-windsor,48.9332,-55.6649,34.5,94,100,3.71,CA,1707714196
419,veraval,20.9,70.3667,75.99,26,82,5.53,IN,1707714050
420,alice town,25.7167,-79.3,74.61,75,0,17.81,BS,1707714327
